outcome,term,coefficient,robust_se,p_value,p_value_BH
signed_error,C(l1)[T.de],-0.13825712222108924,0.2983557624835947,0.6430799320226699,0.893359753228923
signed_error,C(l1)[T.el],-0.07426640337578598,0.29129381948558297,0.798758949061435,0.893359753228923
signed_error,C(l1)[T.es],-0.04986497497208756,0.22504135080500973,0.8246397722113136,0.893359753228923
signed_error,C(l1)[T.fr],0.2599501499372752,0.2306878655632549,0.2598067704257544,0.893359753228923
signed_error,C(l1)[T.it],0.16610448109397577,0.271757439853445,0.5410517555575756,0.893359753228923
signed_error,C(l1)[T.ja],0.003273363421951633,0.2722695328341109,0.9904076552647303,0.9904076552647303
signed_error,C(l1)[T.ko],0.26775305569162317,0.2726602847802771,0.32609866286347955,0.893359753228923
signed_error,C(l1)[T.pl],0.15325105870788108,0.2898430849823172,0.5969871990722699,0.893359753228923
signed_error,C(l1)[T.pt],0.13739252710476133,0.27573519003442515,0.6182887558305301,0.893359753228923
signed_error,C(l1)[T.ru],-0.17243222269403502,0.29082497009057773,0.5532432500537279,0.893359753228923
signed_error,C(l1)[T.th],-0.3582148371748417,0.30455617468211726,0.23952038939930298,0.893359753228923
signed_error,C(l1)[T.tr],-0.11099508594007355,0.2810979585654347,0.6929442528746514,0.893359753228923
signed_error,C(l1)[T.zh],0.13393216631024765,0.285952140404264,0.6395181117227225,0.893359753228923
absolute_error,C(l1)[T.de],0.3630571799727735,0.5024043005876455,0.46990140932225855,0.8355680681278036
absolute_error,C(l1)[T.el],-0.4007327131689617,0.44303653737753707,0.36572295895651885,0.7923997444057908
absolute_error,C(l1)[T.es],-0.1173820316871958,0.38110959265589484,0.7580817789831369,0.8974024017718192
absolute_error,C(l1)[T.fr],-0.6739527437526128,0.37713798050757313,0.07393441476101005,0.5422514474511109
absolute_error,C(l1)[T.it],-0.707052185798772,0.41426786116673014,0.08786829883386804,0.5422514474511109
absolute_error,C(l1)[T.ja],-0.11930268592615047,0.46730996209208375,0.7984939572537846,0.8974024017718192
absolute_error,C(l1)[T.ko],0.28008698448747266,0.47349873093122474,0.5541677932449676,0.8355680681278036
absolute_error,C(l1)[T.pl],-0.6425750461011355,0.4190054279828219,0.12513494941179482,0.5422514474511109
absolute_error,C(l1)[T.pt],-0.505547640324952,0.47067044687853093,0.28277737580230033,0.7923997444057908
absolute_error,C(l1)[T.ru],0.28056638518383953,0.5049603128764079,0.5784702010115563,0.8355680681278036
absolute_error,C(l1)[T.th],-0.017272579981721138,0.5521677214310026,0.9750451229022737,0.9750451229022737
absolute_error,C(l1)[T.tr],0.10942154258818225,0.5047335274020885,0.8283714477893716,0.8974024017718192
absolute_error,C(l1)[T.zh],0.5090394583381969,0.5079906594548516,0.31631239246402443,0.7923997444057908
