model,QWK,Macro_F1,MAE_levels,Spearman,ECE
Surface,0.5481662103432148,0.5796824402361976,0.4782245807159209,0.6241644862239261,0.05169691298164443
TF-IDF,0.6091345041807741,0.5981421329410326,0.4837116548023919,0.6986290785147065,0.051670882032627756
Hybrid,0.5908819502445202,0.5949272589465725,0.4341545002374454,0.6883461892724935,0.032062344506039266
