L1,n,MAE,MAE_CI_low,MAE_CI_high,Mean_signed_error,Mean_human_score,Mean_words
zh,66,4.3273159991785475,3.6285287984259114,5.089732925817444,0.9332747359682297,26.90909090909091,412.57575757575756
ko,86,4.165298839197945,3.5210121490142963,4.861046067120758,1.0896288128548752,26.91860465116279,380.72093023255815
ru,82,4.1271658481151094,3.408744674476044,4.942500123582166,0.30525499849988874,27.195121951219512,377.3292682926829
de,69,4.07527084667692,3.397846324301895,4.832578606993348,-1.000995896915912,29.0,376.69565217391306
tr,74,3.9357012226105086,3.215167979785595,4.7026840334986,0.01812525048737478,27.7972972972973,394.1081081081081
th,63,3.931270905318671,3.088909333296557,4.905647583053021,1.0973960984466165,26.11111111111111,396.7936507936508
ca,64,3.87156452616858,3.269522487033726,4.523293355013942,0.1852575345851425,27.640625,378.171875
ja,80,3.742741403686088,3.1713193697852335,4.389950314836451,-0.27808832498537983,28.2125,358.975
es,200,3.7303767026352403,3.3568477264034358,4.148724317767195,-0.06778920392153182,27.775,367.25
el,73,3.3592389552151274,2.8427172362840407,3.8974601742736934,0.39939885034271555,27.28767123287671,385.6986301369863
pt,68,3.304973338538032,2.669166613233178,4.041223803328183,-0.07665715640985002,27.941176470588236,357.5882352941176
pl,74,3.1865645054093075,2.7265218141207783,3.6876775598328186,0.138747612291671,27.95945945945946,397.5810810810811
fr,146,3.1424255577165656,2.7967430841284053,3.4894500977397285,-0.15804352913056077,28.315068493150687,365.64383561643837
it,76,3.027589772768048,2.564817442384216,3.5104736525601195,-0.8550696061391347,29.11842105263158,363.94736842105266
